pvog	annotation_processed	annotation_raw
VOG0001	V	V protein
VOG0002	VIII	major coat protein
VOG0005	IV	phage assembly protein
VOG0006	Vpf491	Vpf491
VOG0007	minor coat	putative minor coat protein
VOG0008	unknown	hypothetical protein
VOG0009	unknown	putative transcription regulator
VOG0010	unknown	hypothetical protein
VOG0011	unknown	unknown
VOG0012	unknown	hypothetical protein
VOG0013	DNA replication initiation	DNA replication initiation protein
VOG0014	unknown	hypothetical protein
VOG0015	major coat  precursor	putative major coat protein precursor
VOG0016	S-adenosyl-L-methionine hydrolase	S-adenosyl-L-methionine hydrolase
VOG0017	unknown	hypothetical protein
VOG0018	DNA ligase	DNA ligase
VOG0019	RNA polymerase	RNA polymerase
VOG0020	unknown	hypothetical protein
VOG0021	unknown	hypothetical protein
VOG0024	unknown	hypothetical protein
VOG0025	DNA helicase	putative DNA helicase
VOG0026	DNA polymerase	DNA polymerase
VOG0028	exonuclease	exonuclease
VOG0029	unknown	hypothetical protein
VOG0030	head-tail connector	head-tail connector protein
VOG0031	scaffolding	capsid assembly protein
VOG0034	tail tubular  B	tail tubular protein B
VOG0035	internal virion  A	internal virion protein A
VOG0037	internal virion  C	internal virion protein C
VOG0038	internal virion  D	internal virion protein D
VOG0040	holin	type II holin
VOG0041	unknown	hypothetical protein
VOG0043	unknown	hypothetical protein
VOG0044	unknown	hypothetical protein
VOG0045	unknown	hypothetical protein
VOG0046	superinfection exclusion	superinfection exclusion protein
VOG0047	unknown	hypothetical protein
VOG0048	unknown	hypothetical protein
VOG0049	RtcB	hypothetical protein
VOG0050	dCMP deaminase	dCMP deaminase
VOG0051	terminase large subunit	terminase large subunit
VOG0052	RNA polymerase sigma factor	RNA polymerase sigma factor
VOG0054	holin	holin
VOG0058	P-starvation inducible	P-starvation inducible protein
VOG0061	major capsid	major capsid protein
VOG0064	unknown	hypothetical protein
VOG0065	unknown	hypothetical protein
VOG0066	unknown	hypothetical protein
VOG0067	tail sheath	tail sheath protein
VOG0068	unknown	hypothetical protein
VOG0069	unknown	hypothetical protein
VOG0079	unknown	hypothetical protein
VOG0080	unknown	hypothetical protein
VOG0083	recombination endonuclease subunit	recombination endonuclease subunit
VOG0085	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG0086	unknown	hypothetical protein
VOG0088	ribonucleotide reductase	ribonucleotide reductase
VOG0090	unknown	hypothetical protein
VOG0092	thymidylate synthase	thymidylate synthase
VOG0094	DNA-binding	hypothetical protein
VOG0095	unknown	hypothetical protein
VOG0098	unknown	hypothetical protein
VOG0100	unknown	hypothetical protein
VOG0101	unknown	hypothetical protein
VOG0102	unknown	hypothetical protein
VOG0103	unknown	hypothetical protein
VOG0104	unknown	hypothetical protein
VOG0105	unknown	hypothetical protein
VOG0106	terminase large subunit	terminase large subunit
VOG0107	unknown	hypothetical protein
VOG0108	unknown	hypothetical protein
VOG0109	unknown	hypothetical protein
VOG0113	unknown	hypothetical protein
VOG0114	unknown	hypothetical protein
VOG0115	unknown	hypothetical protein
VOG0116	unknown	hypothetical protein
VOG0117	unknown	hypothetical protein
VOG0118	unknown	hypothetical protein
VOG0122	unknown	hypothetical protein
VOG0125	unknown	hypothetical protein
VOG0126	unknown	hypothetical protein
VOG0127	unknown	hypothetical protein
VOG0128	unknown	hypothetical protein
VOG0129	unknown	hypothetical protein
VOG0131	unknown	hypothetical protein
VOG0133	unknown	hypothetical protein
VOG0134	unknown	hypothetical protein
VOG0136	holin	holin
VOG0139	unknown	hypothetical protein
VOG0141	unknown	hypothetical protein
VOG0142	unknown	hypothetical protein
VOG0143	unknown	hypothetical protein
VOG0144	unknown	hypothetical protein
VOG0145	unknown	hypothetical protein
VOG0149	unknown	hypothetical protein
VOG0151	unknown	hypothetical protein
VOG0152	unknown	hypothetical protein
VOG0154	unknown	hypothetical protein
VOG0156	serine/threonine  phosphatase	serine/threonine protein phosphatase
VOG0157	phosphoesterase	hypothetical protein
VOG0158	unknown	hypothetical protein
VOG0159	unknown	hypothetical protein
VOG0162	unknown	hypothetical protein
VOG0163	unknown	hypothetical protein
VOG0166	maturation	maturation protein
VOG0167	replicase	replicase
VOG0168	gpA	gpA
VOG0169	gpA*	gpA*
VOG0170	gpB	gpB
VOG0171	gpK	gpK
VOG0172	gpC	gpC
VOG0173	gpD	gpD
VOG0174	gpE	gpE
VOG0175	gpJ	gpJ
VOG0176	gpF	gpF
VOG0177	gpG	gpG
VOG0178	gpH	gpH
VOG0179	unknown	hypothetical protein
VOG0181	unknown	hypothetical protein
VOG0182	unknown	hypothetical protein
VOG0183	transcription regulator	putative transcription regulator
VOG0186	unknown	hypothetical protein
VOG0189	DNA replication	DNA replication protein
VOG0190	unknown	hypothetical protein
VOG0192	unknown	unknown
VOG0193	unknown	unknown
VOG0194	unknown	hypothetical protein
VOG0195	unknown	hypothetical protein
VOG0196	unknown	hypothetical protein
VOG0197	unknown	hypothetical protein
VOG0198	unknown	hypothetical protein
VOG0202	head-tail joining	putative head-tail joining protein
VOG0204	unknown	hypothetical protein
VOG0205	head-tail joining	putative head-tail joining protein
VOG0207	unknown	hypothetical protein
VOG0209	tail component	putative tail component
VOG0217	unknown	unknown
VOG0221	integrase	integrase
VOG0223	Lxc	Lxc
VOG0226	unknown	hypothetical protein
VOG0227	tail fiber assembly	tail fiber assembly protein
VOG0233	hypothetical bacteriophage	hypothetical bacteriophage protein
VOG0234	ParB	ParB
VOG0236	Upf62.1	Upf62.1
VOG0237	LysC	LysC
VOG0238	unknown	hypothetical protein
VOG0239	unknown	hypothetical protein
VOG0242	unknown	hypothetical protein
VOG0243	unknown	hypothetical protein
VOG0244	unknown	hypothetical protein
VOG0245	unknown	hypothetical protein
VOG0248	unknown	hypothetical protein
VOG0249	Doc	Doc
VOG0251	unknown	hypothetical protein
VOG0253	terminase small subunit	terminase small subunit
VOG0254	portal	portal protein
VOG0258	DNA stabilization	DNA stabilization protein
VOG0259	DNA stabilization	DNA stabilization protein
VOG0260	unknown	hypothetical protein
VOG0261	head assembly	head assembly protein
VOG0263	DNA transfer	DNA transfer protein
VOG0264	unknown	hypothetical protein
VOG0265	DNA transfer	DNA transfer protein
VOG0267	unknown	hypothetical protein
VOG0273	GtrC	GtrC
VOG0274	GtrB	GtrB
VOG0275	integrase	integrase
VOG0278	unknown	hypothetical protein
VOG0280	unknown	hypothetical protein
VOG0281	Abc2	Abc2 protein
VOG0283	unknown	hypothetical protein
VOG0284	Arf	Arf
VOG0285	Kil	Kil
VOG0286	CIII	CIII protein
VOG0287	superinfection exclusion  B	superinfection exclusion protein B
VOG0288	antitermination  N	antitermination protein N
VOG0291	NinA	hypothetical protein
VOG0292	NinB	NinB protein
VOG0293	NinE	NinE protein
VOG0294	unknown	hypothetical protein
VOG0295	NinF	NinF protein
VOG0296	NinG	NinG protein
VOG0297	unknown	hypothetical protein
VOG0298	late gene regulator Q	late gene regulator Q
VOG0299	endopeptidase	hypothetical protein
VOG0300	Rz1	Rz1 protein
VOG0302	unknown	hypothetical protein
VOG0303	unknown	hypothetical protein
VOG0311	unknown	hypothetical protein
VOG0312	Gp18	Gp18 protein
VOG0315	unknown	hypothetical protein
VOG0316	unknown	hypothetical protein
VOG0319	unknown	hypothetical protein
VOG0320	Gp45	Gp45 protein
VOG0321	unknown	hypothetical protein
VOG0322	unknown	hypothetical protein
VOG0327	unknown	hypothetical protein
VOG0329	unknown	hypothetical protein
VOG0334	DNA polymerase	DNA polymerase
VOG0335	unknown	hypothetical protein
VOG0336	unknown	hypothetical protein
VOG0337	DNA packaging ATPase	DNA packaging ATPase
VOG0338	unknown	hypothetical protein
VOG0339	unknown	hypothetical protein
VOG0340	unknown	hypothetical protein
VOG0341	unknown	hypothetical protein
VOG0342	unknown	hypothetical protein
VOG0344	unknown	hypothetical protein
VOG0345	unknown	hypothetical protein
VOG0346	unknown	hypothetical protein
VOG0347	unknown	hypothetical protein
VOG0348	unknown	hypothetical protein
VOG0350	nicotinamide phosphoribosyl transferase	nicotinamide phosphoribosyltransferase
VOG0351	prohead core scaffolding  and protease	prohead core scaffolding protein and protease
VOG0352	unknown	hypothetical protein
VOG0354	RNA polymerase beta subunit	putative RNA polymerase beta subunit
VOG0355	replication  P	replication protein P
VOG0356	tail sheath	tail sheath protein
VOG0362	unknown	hypothetical protein
VOG0364	virion structural	hypothetical protein
VOG0367	unknown	hypothetical protein
VOG0368	unknown	hypothetical protein
VOG0369	unknown	hypothetical protein
VOG0370	unknown	hypothetical protein
VOG0371	unknown	hypothetical protein
VOG0372	DNA ligase	NAD-dependent DNA ligase, subunit A
VOG0373	unknown	hypothetical protein
VOG0374	unknown	hypothetical protein
VOG0375	unknown	hypothetical protein
VOG0376	unknown	hypothetical protein
VOG0377	DNA helicase	DNA helicase
VOG0382	DNA topoisomerase II large subunit	DNA topoisomerase II large subunit
VOG0384	DNA topisomerase II medium subunit	DNA topisomerase II medium subunit
VOG0388	unknown	hypothetical protein
VOG0389	unknown	hypothetical protein
VOG0390	unknown	hypothetical protein
VOG0393	ADP-ribosylase	ADP-ribosylase
VOG0394	unknown	hypothetical protein
VOG0395	unknown	hypothetical protein
VOG0396	unknown	hypothetical protein
VOG0397	dUTPase	dUTPase
VOG0398	unknown	hypothetical protein
VOG0400	spackle periplasmic	spackle periplasmic protein
VOG0401	unknown	hypothetical protein
VOG0402	head vertex assembly chaperone	head vertex assembly chaperone
VOG0403	unknown	hypothetical protein
VOG0404	unknown	hypothetical protein
VOG0405	unknown	hypothetical protein
VOG0407	unknown	hypothetical protein
VOG0408	clamp loader subunit	clamp loader subunit
VOG0409	sliding clamp DNA polymerase accessory	sliding clamp DNA polymerase accessory protein
VOG0410	RNA polymerase binding	RNA polymerase binding protein
VOG0411	unknown	hypothetical protein
VOG0412	alpha-glucosyl-transferase	alpha-glucosyl-transferase
VOG0413	unknown	hypothetical protein
VOG0414	unknown	hypothetical protein
VOG0415	unknown	hypothetical protein
VOG0416	unknown	hypothetical protein
VOG0417	unknown	hypothetical protein
VOG0418	unknown	hypothetical protein
VOG0419	anaerobic NTP reductase small subunit	anaerobic NTP reductase small subunit
VOG0420	anaerobic NTP reductase large subunit	anaerobic NTP reductase large subunit
VOG0421	inhibitor of host Lon protease	inhibitor of host Lon protease
VOG0422	unknown	hypothetical protein
VOG0424	unknown	hypothetical protein
VOG0425	unknown	hypothetical protein
VOG0426	unknown	hypothetical protein
VOG0427	unknown	hypothetical protein
VOG0428	unknown	hypothetical protein
VOG0429	unknown	hypothetical protein
VOG0433	unknown	hypothetical protein
VOG0434	unknown	hypothetical protein
VOG0435	unknown	hypothetical protein
VOG0436	site-specific RNA endonuclease	site-specific RNA endonuclease
VOG0437	unknown	hypothetical protein
VOG0438	unknown	hypothetical protein
VOG0439	unknown	hypothetical protein
VOG0440	unknown	hypothetical protein
VOG0441	unknown	hypothetical protein
VOG0443	nudix hydrolase	nudix hydrolase
VOG0444	unknown	hypothetical protein
VOG0445	unknown	hypothetical protein
VOG0447	unknown	hypothetical protein
VOG0448	unknown	hypothetical protein
VOG0449	unknown	hypothetical protein
VOG0450	unknown	hypothetical protein
VOG0451	head completion	head completion protein
VOG0452	baseplate wedge subunit	baseplate wedge subunit
VOG0454	baseplate wedge subunit	baseplate wedge subunit
VOG0456	baseplate wedge subunit and tail pin	baseplate wedge subunit and tail pin
VOG0457	baseplate wedge subunit and tail pin	baseplate wedge subunit and tail pin
VOG0459	fibritin neck whiskers	fibritin
VOG0460	neck	neck protein
VOG0461	neck	neck protein
VOG0462	tail sheath stabilizer and completion	tail sheath stabilizer and completion protein
VOG0463	prohead core	prohead core protein
VOG0464	prohead core	prohead core protein
VOG0465	scaffold prohead core	scaffold prohead core protein
VOG0466	major capsid	major capsid protein
VOG0468	unknown	hypothetical protein
VOG0469	unknown	hypothetical protein
VOG0471	inhibitor of prohead protease	inhibitor of prohead protease
VOG0473	UvsY	UvsY
VOG0474	baseplate hub subunit	baseplate hub subunit
VOG0475	baseplate hub distal subunit	baseplate hub distal subunit
VOG0476	baseplate hub subunit tail length determinator	baseplate hub subunit tail length determinator
VOG0477	baseplate tail tube cap	baseplate tail tube cap
VOG0479	unknown	hypothetical protein
VOG0480	ADP-ribosyltransferase	ADP-ribosyltransferase
VOG0481	unknown	hypothetical protein
VOG0482	unknown	hypothetical protein
VOG0483	unknown	hypothetical protein
VOG0484	unknown	hypothetical protein
VOG0485	lysis inhibition accessory	lysis inhibition accessory protein
VOG0486	unknown	hypothetical protein
VOG0487	unknown	hypothetical protein
VOG0488	unknown	hypothetical protein
VOG0489	unknown	hypothetical protein
VOG0493	endonuclease II	endonuclease II
VOG0494	unknown	hypothetical protein
VOG0495	unknown	hypothetical protein
VOG0496	dihydrofolate reductase	dihydrofolate reductase
VOG0497	unknown	hypothetical protein
VOG0498	unknown	hypothetical protein
VOG0499	single-stranded DNA binding	single-stranded DNA binding protein
VOG0505	holin	holin lysis mediator
VOG0506	unknown	hypothetical protein
VOG0507	unknown	hypothetical protein
VOG0509	activator of middle period transcription	activator of middle period transcription
VOG0510	nucleoid disruption	nucleoid disruption protein
VOG0511	unknown	hypothetical protein
VOG0513	unknown	hypothetical protein
VOG0514	unknown	hypothetical protein
VOG0518	unknown	hypothetical protein
VOG0519	unknown	hypothetical protein
VOG0521	unknown	hypothetical protein
VOG0523	unknown	hypothetical protein
VOG0524	unknown	hypothetical protein
VOG0525	unknown	hypothetical protein
VOG0526	unknown	hypothetical protein
VOG0527	unknown	unknown
VOG0528	unknown	hypothetical protein
VOG0529	unknown	Na/K ATPase
VOG0531	unknown	hypothetical protein
VOG0532	unknown	hypothetical protein
VOG0533	unknown	hypothetical protein
VOG0534	unknown	hypothetical protein
VOG0535	unknown	hypothetical protein
VOG0536	unknown	hypothetical protein
VOG0537	unknown	hypothetical protein
VOG0539	unknown	hypothetical protein
VOG0541	unknown	hypothetical protein
VOG0542	unknown	hypothetical protein
VOG0543	unknown	hypothetical protein
VOG0544	Panton-Valentine leukocidin chain S precursor	Panton-Valentine leukocidin chain S precursor
VOG0545	Panton-Valentine leukocidin chain F precursor	Panton-Valentine leukocidin chain F precursor
VOG0546	unknown	unknown
VOG0547	unknown	hypothetical protein
VOG0548	unknown	hypothetical protein
VOG0549	unknown	hypothetical protein
VOG0550	unknown	hypothetical protein
VOG0551	unknown	hypothetical protein
VOG0553	unknown	hypothetical protein
VOG0554	unknown	unknown
VOG0555	unknown	hypothetical protein
VOG0556	unknown	hypothetical protein
VOG0557	unknown	hypothetical protein
VOG0558	unknown	hypothetical protein
VOG0559	unknown	transcriptional activator RinB
VOG0560	unknown	unknown
VOG0562	unknown	hypothetical protein
VOG0564	unknown	hypothetical protein
VOG0565	unknown	hypothetical protein
VOG0566	capsid-scaffolding	capsid-scaffolding protein
VOG0567	terminase endonuclease subunit	terminase endonuclease subunit
VOG0568	head completion  L	head completion protein L
VOG0569	unknown	tail synthesis protein X
VOG0571	tail	tail completion protein R
VOG0572	virion morphogenesis	hypothetical protein
VOG0573	unknown	hypothetical protein
VOG0574	tail formation  I	tail formation protein I
VOG0577	major tail tube	major tail tube protein
VOG0582	tail	tail protein
VOG0583	unknown	hypothetical protein
VOG0584	unknown	hypothetical protein
VOG0585	unknown	hypothetical protein
VOG0586	unknown	hypothetical protein
VOG0588	replication	replication protein A
VOG0590	unknown	hypothetical protein
VOG0595	unknown	hypothetical protein
VOG0598	unknown	hypothetical protein
VOG0600	unknown	hypothetical protein
VOG0601	unknown	hypothetical protein
VOG0602	holin	holin
VOG0603	gpJ	gpJ
VOG0608	unknown	hypothetical protein
VOG0609	scaffold	scaffold protein
VOG0611	unknown	hypothetical protein
VOG0612	phage terminase small subunit	phage terminase small subunit
VOG0614	lysozyme	lysin
VOG0615	holin	holin
VOG0618	unknown	hypothetical protein
VOG0621	unknown	hypothetical protein
VOG0622	unknown	hypothetical protein
VOG0623	unknown	hypothetical protein
VOG0625	unknown	hypothetical protein
VOG0628	unknown	hypothetical protein
VOG0629	unknown	hypothetical protein
VOG0630	unknown	hypothetical protein
VOG0631	unknown	hypothetical protein
VOG0632	unknown	hypothetical protein
VOG0634	unknown	hypothetical protein
VOG0635	unknown	hypothetical protein
VOG0637	unknown	hypothetical protein
VOG0638	unknown	hypothetical protein
VOG0639	DNA encapsidation	DNA encapsidation protein
VOG0641	holin	holin
VOG0642	lower collar	lower collar protein
VOG0643	major head	major head protein
VOG0644	upper collar	upper collar protein
VOG0645	tail	tail protein
VOG0647	minor structural	putative minor structural protein
VOG0648	unknown	hypothetical protein
VOG0650	unknown	hypothetical protein
VOG0651	unknown	hypothetical protein
VOG0655	unknown	hypothetical protein
VOG0656	unknown	hypothetical protein
VOG0657	unknown	hypothetical protein
VOG0658	unknown	hypothetical protein
VOG0660	unknown	unknown
VOG0661	unknown	hypothetical protein
VOG0668	DNA polymerase I	putative DNA polymerase I
VOG0672	unknown	hypothetical protein
VOG0673	unknown	hypothetical protein
VOG0674	unknown	hypothetical protein
VOG0676	RNA ligase	RNA ligase
VOG0677	unknown	hypothetical protein
VOG0678	unknown	hypothetical protein
VOG0679	unknown	hypothetical protein
VOG0681	gpK	gpK
VOG0682	unknown	hypothetical protein
VOG0685	unknown	hypothetical protein
VOG0686	unknown	hypothetical protein
VOG0689	unknown	hypothetical protein
VOG0691	portal	portal protein
VOG0692	minor capsid	minor capsid protein
VOG0694	major capsid	major capsid protein
VOG0695	unknown	hypothetical protein
VOG0696	unknown	unknown
VOG0697	unknown	hypothetical protein
VOG0698	minor capsid	putative minor capsid protein
VOG0700	unknown	hypothetical protein
VOG0701	unknown	hypothetical protein
VOG0703	holin	holin
VOG0704	unknown	hypothetical protein
VOG0705	FtsK/SpoIIIE	FtsK/SpoIIIE protein
VOG0706	unknown	hypothetical protein
VOG0707	conserved phage	conserved phage protein
VOG0709	unknown	hypothetical protein
VOG0712	unknown	hypothetical protein
VOG0713	unknown	hypothetical protein
VOG0714	unknown	unknown
VOG0717	unknown	hypothetical protein
VOG0719	unknown	hypothetical protein
VOG0720	portal	portal protein
VOG0723	unknown	hypothetical protein
VOG0724	unknown	hypothetical protein
VOG0725	unknown	hypothetical protein
VOG0727	unknown	hypothetical protein
VOG0731	holin	holin
VOG0733	unknown	unknown
VOG0734	unknown	unknown
VOG0735	unknown	unknown
VOG0736	unknown	unknown
VOG0737	unknown	unknown
VOG0739	unknown	unknown
VOG0740	unknown	hypothetical protein
VOG0741	unknown	unknown
VOG0743	unknown	unknown
VOG0744	unknown	unknown
VOG0749	unknown	unknown
VOG0750	unknown	unknown
VOG0751	unknown	unknown
VOG0752	unknown	unknown
VOG0753	unknown	hypothetical protein
VOG0754	unknown	unknown
VOG0755	unknown	hypothetical protein
VOG0756	translation initiation factor	putative translation initiation factor
VOG0757	unknown	unknown
VOG0758	unknown	hypothetical protein
VOG0760	unknown	unknown
VOG0763	unknown	Orf8
VOG0764	capsid	capsid protein
VOG0765	holin	holin
VOG0766	unknown	hypothetical protein
VOG0769	unknown	hypothetical protein
VOG0771	unknown	hypothetical protein
VOG0774	unknown	hypothetical protein
VOG0776	unknown	hypothetical protein
VOG0784	unknown	hypothetical protein
VOG0785	excisionase	excisionase
VOG0787	unknown	hypothetical protein
VOG0788	unknown	hypothetical protein
VOG0789	unknown	unknown
VOG0790	unknown	hypothetical protein
VOG0791	unknown	unknown
VOG0792	unknown	hypothetical protein
VOG0793	unknown	hypothetical protein
VOG0794	unknown	hypothetical protein
VOG0795	unknown	hypothetical protein
VOG0796	terminase small subunit	terminase small subunit
VOG0797	unknown	hypothetical protein
VOG0799	major tail	major tail protein
VOG0800	unknown	hypothetical protein
VOG0801	unknown	hypothetical protein
VOG0804	unknown	hypothetical protein
VOG0805	unknown	hypothetical protein
VOG0806	unknown	hypothetical protein
VOG0807	unknown	hypothetical protein
VOG0808	unknown	hypothetical protein
VOG0809	unknown	hypothetical protein
VOG0810	unknown	hypothetical protein
VOG0811	unknown	hypothetical protein
VOG0812	unknown	hypothetical protein
VOG0813	unknown	hypothetical protein
VOG0814	unknown	hypothetical protein
VOG0815	unknown	hypothetical protein
VOG0816	head-tail adaptor	hypothetical protein
VOG0817	unknown	hypothetical protein
VOG0819	unknown	hypothetical protein
VOG0820	unknown	hypothetical protein
VOG0821	unknown	hypothetical protein
VOG0822	unknown	hypothetical protein
VOG0823	excisionase	excisionase
VOG0824	unknown	hypothetical protein
VOG0825	unknown	hypothetical protein
VOG0827	mobile element	mobile element protein
VOG0828	single-stranded DNA binding	putative single-stranded DNA binding protein
VOG0830	Bor  precursor	Bor protein precursor
VOG0831	terminase small subunit nu1	terminase small subunit nu1
VOG0832	head-to-tail joining	head-to-tail joining protein
VOG0833	portal	portal protein
VOG0835	head-DNA stabilization	head-DNA stabilization protein
VOG0837	DNA packaging	DNA packaging protein
VOG0838	unknown	hypothetical protein
VOG0839	minor tail	minor tail protein
VOG0840	tail component	minor tail protein
VOG0842	minor tail	minor tail protein
VOG0843	minor tail	minor tail protein
VOG0847	minor tail	minor tail protein
VOG0848	minor tail	minor tail protein
VOG0850	minor tail	tail protein
VOG0855	attachment invasion locus  precursor	attachment invasion locus protein precursor
VOG0861	unknown	hypothetical protein
VOG0862	unknown	hypothetical protein
VOG0866	unknown	hypothetical protein
VOG0868	unknown	hypothetical protein
VOG0870	unknown	hypothetical protein
VOG0874	unknown	hypothetical protein
VOG0875	terminal	terminal protein
VOG0876	transcriptional regulator	transcriptional regulator
VOG0877	-	-
VOG0878	dsDNA binding	dsDNA binding protein
VOG0879	scaffolding	scaffolding protein
VOG0880	head fiber	head fiber protein
VOG0885	unknown	DNA replication organizer
VOG0886	unknown	unknown protein
VOG0887	terminase small subunit	putative terminase small subunit
VOG0888	unknown	hypothetical protein
VOG0889	structural	putative strucural protein 2
VOG0890	strucural  4	putative strucural protein 4
VOG0893	unknown	hypothetical protein
VOG0894	unknown	hypothetical protein
VOG0897	holin	holin
VOG0900	unknown	hypothetical protein
VOG0901	unknown	hypothetical protein
VOG0902	unknown	hypothetical protein
VOG0903	unknown	hypothetical protein
VOG0904	unknown	hypothetical protein
VOG0905	unknown	hypothetical protein
VOG0906	sak	putative sak protein
VOG0907	unknown	hypothetical protein
VOG0908	unknown	hypothetical protein
VOG0909	unknown	hypothetical protein
VOG0910	unknown	hypothetical protein
VOG0911	unknown	hypothetical protein
VOG0913	structural	putative structural protein
VOG0914	unknown	hypothetical protein
VOG0917	unknown	hypothetical protein
VOG0918	unknown	hypothetical protein
VOG0919	unknown	hypothetical protein
VOG0920	unknown	hypothetical protein
VOG0921	unknown	hypothetical protein
VOG0922	unknown	hypothetical protein
VOG0924	DNA polymerase subunit	putative DNA polymerase subunit
VOG0925	unknown	hypothetical protein
VOG0926	unknown	hypothetical protein
VOG0927	unknown	hypothetical protein
VOG0930	unknown	putative strucural protein 3
VOG0933	neck passage structure	neck passage structure protein
VOG0935	unknown	hypothetical protein
VOG0936	unknown	hypothetical protein
VOG0937	unknown	hypothetical protein
VOG0938	unknown	hypothetical protein
VOG0939	unknown	hypothetical protein
VOG0941	unknown	hypothetical protein
VOG0942	unknown	hypothetical protein
VOG0943	unknown	hypothetical protein
VOG0944	transposase	transposase
VOG0945	mobile element	mobile element protein
VOG0946	shiga-like toxin II subunit A precursor	shiga-like toxin II subunit A precursor
VOG0947	Shiga toxin 2 subunit B	Shiga toxin 2 subunit B
VOG0952	unknown	hypothetical protein
VOG0953	unknown	hypothetical protein
VOG0955	unknown	hypothetical protein
VOG0968	unknown	hypothetical protein
VOG0972	unknown	hypothetical protein
VOG0975	ORF21	ORF21
VOG0976	major capsid	major capsid protein
VOG0977	unknown	hypothetical protein
VOG0979	retron-type RNA-directed DNA polymerase	retron-type RNA-directed DNA polymerase
VOG0980	unknown	hypothetical protein
VOG0981	unknown	hypothetical protein
VOG0982	unknown	hypothetical protein
VOG0984	unknown	hypothetical protein
VOG0985	ParA	ParA
VOG0986	protelomerase	protelomerase
VOG0988	unknown	hypothetical protein
VOG0989	unknown	hypothetical protein
VOG0991	ORF18	ORF18
VOG0992	endolysin	putative endolysin
VOG0994	unknown	hypothetical protein
VOG0996	clamp loader subunit	clamp loader subunit
VOG0997	baseplate hub subunit	baseplate hub subunit
VOG0998	queuosine biosynthesis QueE radical SAM	queuosine biosynthesis QueE radical SAM
VOG0999	unknown	hypothetical protein
VOG10000	unknown	hypothetical protein
VOG10001	unknown	hypothetical protein
VOG10002	unknown	hypothetical protein
VOG10003	unknown	hypothetical protein
VOG10004	unknown	hypothetical protein
VOG10005	antirestriction	putative antirestriction protein
VOG10006	unknown	hypothetical protein
VOG10007	unknown	hypothetical protein
VOG10008	unknown	hypothetical protein
VOG10009	tail fiber	putative tail fiber
VOG1001	portal vertex	portal vertex protein
VOG10010	unknown	hypothetical protein
VOG10011	unknown	hypothetical protein
VOG10012	unknown	hypothetical protein
VOG10013	unknown	hypothetical protein
VOG10014	unknown	hypothetical protein
VOG10015	unknown	hypothetical protein
VOG10016	tail assembly	tail assembly protein
VOG10017	unknown	hypothetical protein
VOG10018	unknown	hypothetical protein
VOG10019	unknown	hypothetical protein
VOG10020	unknown	hypothetical protein
VOG10021	unknown	unknown
VOG10022	unknown	unknown
VOG10023	topoisomerase IB	topoisomerase IB
VOG10024	unknown	hypothetical protein
VOG10025	unknown	hypothetical protein
VOG10026	ATPase	putative ATPase
VOG10027	unknown	hypothetical protein
VOG10028	unknown	hypothetical protein
VOG10029	unknown	hypothetical protein
VOG10030	RuvC_resolvase like	RuvC_resolvase like protein
VOG10031	unknown	hypothetical protein
VOG10032	unknown	hypothetical protein
VOG10033	unknown	hypothetical protein
VOG10034	unknown	hypothetical protein
VOG10035	unknown	hypothetical protein
VOG10036	unknown	hypothetical protein
VOG10037	unknown	hypothetical protein
VOG10038	p036	p036
VOG10039	unknown	unknown
VOG1004	unknown	hypothetical protein
VOG10040	unknown	unknown
VOG10041	unknown	hypothetical protein
VOG10042	unknown	unknown
VOG10043	unknown	hypothetical protein
VOG10044	gp14-like	gp14-like protein
VOG10045	unknown	hypothetical protein
VOG10046	unknown	hypothetical protein
VOG10047	unknown	hypothetical protein
VOG10048	unknown	hypothetical protein
VOG10049	unknown	hypothetical protein
VOG1005	tail tube	tail tube protein
VOG10050	unknown	hypothetical protein
VOG10051	unknown	hypothetical protein
VOG10052	unknown	hypothetical protein
VOG10053	unknown	unknown
VOG10054	unknown	unknown
VOG10055	unknown	hypothetical protein
VOG10056	unknown	hypothetical protein
VOG10057	unknown	hypothetical protein
VOG10058	unknown	hypothetical protein
VOG10059	antirepressor	antirepressor
VOG1006	sigma factor for late transcription	sigma factor for late transcription
VOG10060	unknown	hypothetical protein
VOG10061	unknown	hypothetical protein
VOG10062	unknown	hypothetical protein
VOG10063	unknown	hypothetical protein
VOG10064	unknown	hypothetical protein
VOG10065	gp18.5	gp18.5
VOG10066	unknown	hypothetical protein
VOG10067	unknown	hypothetical protein
VOG10068	unknown	hypothetical protein
VOG10069	capsid	capsid protein
VOG10070	unknown	hypothetical protein
VOG10071	unknown	hypothetical protein
VOG10072	unknown	hypothetical protein
VOG10073	unknown	hypothetical protein
VOG10074	ORF1	ORF1
VOG10075	unknown	hypothetical protein
VOG10076	unknown	hypothetical protein
VOG10077	unknown	hypothetical protein
VOG10078	unknown	hypothetical protein
VOG10079	unknown	hypothetical protein
VOG10080	unknown	hypothetical protein
VOG10081	unknown	hypothetical protein
VOG10082	unknown	hypothetical protein
VOG10083	unknown	hypothetical protein
VOG10084	unknown	hypothetical protein
VOG10085	unknown	hypothetical protein
VOG10086	baseplate wedge subunit	baseplate wedge subunit
VOG10087	unknown	hypothetical protein
VOG10088	DNA primase	DNA primase
VOG10089	unknown	hypothetical protein
