pvog	annotation_processed	annotation_raw
VOG7849	unknown	unknown
VOG7850	unknown	hypothetical protein
VOG7851	unknown	hypothetical protein
VOG7852	unknown	hypothetical protein
VOG7853	unknown	hypothetical protein
VOG7854	unknown	hypothetical protein
VOG7855	unknown	hypothetical protein
VOG7856	unknown	hypothetical protein
VOG7857	unknown	hypothetical protein
VOG7858	unknown	hypothetical protein
VOG7859	unknown	hypothetical protein
VOG7860	unknown	hypothetical protein
VOG7861	unknown	hypothetical protein
VOG7862	unknown	hypothetical protein
VOG7863	unknown	hypothetical protein
VOG7864	unknown	hypothetical protein
VOG7865	unknown	hypothetical protein
VOG7866	unknown	hypothetical protein
VOG7867	unknown	hypothetical protein
VOG7868	unknown	hypothetical protein
VOG7869	unknown	hypothetical protein
VOG7870	unknown	hypothetical protein
VOG7871	unknown	hypothetical protein
VOG7872	unknown	hypothetical protein
VOG7873	unknown	hypothetical protein
VOG7874	unknown	hypothetical protein
VOG7875	unknown	hypothetical protein
VOG7876	unknown	hypothetical protein
VOG7877	unknown	hypothetical protein
VOG7878	unknown	hypothetical protein
VOG7879	unknown	hypothetical protein
VOG7880	aerobic NDP reductase small subunit	aerobic NDP reductase small subunit
VOG7881	unknown	hypothetical protein
VOG7882	unknown	hypothetical protein
VOG7883	unknown	hypothetical protein
VOG7884	DNA segregation ATPase FtsK/SpoIIIE	putative DNA segregation ATPase FtsK/SpoIIIE
VOG7885	unknown	hypothetical protein
VOG7886	unknown	hypothetical protein
VOG7887	PemK-like	PemK-like protein
VOG7888	unknown	hypothetical protein
VOG7889	unknown	hypothetical protein
VOG7890	unknown	hypothetical protein
VOG7891	unknown	hypothetical protein
VOG7892	unknown	hypothetical protein
VOG7893	unknown	hypothetical protein
VOG7894	unknown	hypothetical protein
VOG7895	unknown	hypothetical protein
VOG7896	unknown	hypothetical protein
VOG7897	unknown	hypothetical protein
VOG7898	unknown	hypothetical protein
VOG7899	unknown	hypothetical protein
VOG7900	tail spike	tail spike protein
VOG7901	unknown	hypothetical protein
VOG7902	unknown	hypothetical protein
VOG7903	unknown	hypothetical protein
VOG7904	unknown	hypothetical protein
VOG7905	unknown	hypothetical protein
VOG7906	unknown	hypothetical protein
VOG7907	unknown	hypothetical protein
VOG7908	unknown	hypothetical protein
VOG7909	unknown	hypothetical protein
VOG7910	unknown	hypothetical protein
VOG7911	unknown	hypothetical protein
VOG7912	unknown	hypothetical protein
VOG7913	gp25	gp25
VOG7914	unknown	hypothetical protein
VOG7915	unknown	hypothetical protein
VOG7916	unknown	hypothetical protein
VOG7917	RNA polymerase sigma factor	RNA polymerase sigma factor
VOG7918	unknown	hypothetical protein
VOG7919	unknown	hypothetical protein
VOG7920	unknown	hypothetical protein
VOG7921	unknown	hypothetical protein
VOG7922	unknown	hypothetical protein
VOG7923	unknown	hypothetical protein
VOG7924	unknown	hypothetical protein
VOG7925	unknown	hypothetical protein
VOG7926	unknown	hypothetical protein
VOG7927	unknown	hypothetical protein
VOG7928	unknown	hypothetical protein
VOG7929	unknown	hypothetical protein
VOG7930	unknown	hypothetical protein
VOG7931	unknown	hypothetical protein
VOG7932	unknown	hypothetical protein
VOG7933	unknown	hypothetical protein
VOG7934	unknown	hypothetical protein
VOG7935	unknown	hypothetical protein
VOG7936	unknown	hypothetical protein
VOG7937	unknown	hypothetical protein
VOG7938	unknown	hypothetical protein
VOG7939	unknown	unknown
VOG7940	unknown	hypothetical protein
VOG7941	endonuclease	holliday junction resolvase
VOG7942	unknown	hypothetical protein
VOG7943	unknown	hypothetical protein
VOG7944	unknown	hypothetical protein
VOG7945	unknown	hypothetical protein
VOG7946	capsid morphogenesis	capsid morphogenesis protein
VOG7947	unknown	hypothetical protein
VOG7948	unknown	hypothetical protein
VOG7949	unknown	hypothetical protein
VOG7950	unknown	hypothetical protein
VOG7951	unknown	hypothetical protein
VOG7952	unknown	hypothetical protein
VOG7953	unknown	hypothetical protein
VOG7954	unknown	hypothetical protein
VOG7955	unknown	hypothetical protein
VOG7956	unknown	hypothetical protein
VOG7957	unknown	hypothetical protein
VOG7958	unknown	hypothetical protein
VOG7959	unknown	hypothetical protein
VOG7960	unknown	unknown
VOG7961	virion structural	virion structural protein
VOG7962	holin	putative holin
VOG7963	unknown	hypothetical protein
VOG7964	unknown	hypothetical protein
VOG7965	unknown	hypothetical protein
VOG7966	unknown	hypothetical protein
VOG7967	unknown	hypothetical protein
VOG7968	unknown	hypothetical protein
VOG7969	unknown	hypothetical protein
VOG7970	unknown	hypothetical protein
VOG7971	unknown	hypothetical protein
VOG7972	unknown	hypothetical protein
VOG7973	unknown	hypothetical protein
VOG7974	unknown	hypothetical protein
VOG7975	unknown	hypothetical protein
VOG7976	unknown	hypothetical protein
VOG7977	unknown	hypothetical protein
VOG7978	unknown	hypothetical protein
VOG7979	unknown	hypothetical protein
VOG7980	unknown	hypothetical protein
VOG7981	unknown	hypothetical protein
VOG7982	unknown	hypothetical protein
VOG7983	unknown	hypothetical protein
VOG7984	unknown	hypothetical protein
VOG7985	unknown	hypothetical protein
VOG7986	unknown	hypothetical protein
VOG7987	unknown	hypothetical protein
VOG7988	unknown	hypothetical protein
VOG7989	unknown	hypothetical protein
VOG7990	unknown	hypothetical protein
VOG7991	unknown	hypothetical protein
VOG7992	unknown	hypothetical protein
VOG7993	unknown	hypothetical protein
VOG7994	unknown	hypothetical protein
VOG7995	unknown	hypothetical protein
VOG7996	unknown	hypothetical protein
VOG7997	unknown	hypothetical protein
VOG7998	unknown	hypothetical protein
